,leading_p_is_casual,highest_post_prob_is_casual,num_true_possitive_p5*10**(-8),num_false_possitive_p5*10**(-8),num_true_possitive_post95,num_false_possitive_post95
0,[False],[False],1,3,1,396
1,[ True],[False],1,0,1,446
2,[ True],[False],1,5,1,217
3,[False],[False],1,7,1,505
4,[ True],[False],1,0,1,412
5,[ True],[False],1,1,1,675
6,[False],[False],1,0,1,927
7,[ True],[False],1,1,1,606
8,[ True],[False],1,0,1,429
9,[False],[False],1,0,1,786
10,[ True],[False],1,2,1,318
11,[ True],[False],1,0,1,325
12,[ True],[False],1,4,1,306
13,[ True],[False],1,0,1,367
14,[ True],[False],1,0,1,462
15,[ True],[False],1,2,1,495
16,[ True],[False],1,5,1,333
17,[ True],[False],1,0,1,579
18,[ True],[False],1,0,1,423
19,[ True],[False],1,0,1,456
