,leading_p_is_casual,highest_post_prob_is_casual,num_true_possitive_p5*10**(-8),num_false_possitive_p5*10**(-8),num_true_possitive_post95,num_false_possitive_post95
0,[False],[False],1,2,1,2
1,[ True],[ True],1,1,1,0
2,[ True],[ True],1,9,1,0
3,[False],[ True],1,8,1,0
4,[ True],[ True],1,0,1,0
5,[ True],[ True],1,0,1,0
6,[False],[False],1,0,1,0
7,[ True],[ True],1,1,1,0
8,[ True],[ True],1,0,1,0
9,[False],[False],1,0,1,0
10,[ True],[ True],1,1,1,0
11,[ True],[False],1,0,1,0
12,[ True],[False],1,4,1,1
13,[ True],[ True],1,0,1,0
14,[ True],[ True],1,0,1,0
15,[ True],[False],1,3,1,1
16,[ True],[ True],1,6,1,0
17,[ True],[ True],1,0,1,0
18,[ True],[ True],1,2,1,0
19,[ True],[ True],1,2,1,0
