,leading_p_is_casual,highest_post_prob_is_casual,num_true_possitive_p5*10**(-8),num_false_possitive_p5*10**(-8),num_true_possitive_post95,num_false_possitive_post95
0,[ True False False],[ True False False],1,1,1,0
1,[False False  True],[False False  True],1,3,1,0
2,[False False  True],[False False  True],1,0,1,0
3,[False False False],[False False False],1,0,1,0
4,[False False False],[False False False],1,0,1,0
5,[False False False],[False False False],1,0,1,1
6,[False False False],[False False False],1,0,1,5
7,[False False False],[False False False],1,0,1,2
8,[False False False],[False False False],1,0,1,2
9,[False False False],[False False False],1,0,1,2
10,[False False False],[False False  True],1,20,1,0
11,[False False False],[False False False],1,0,1,3
12,[False False False],[False False False],1,0,1,2
13,[False False False],[False False False],1,0,1,1
14,[False False False],[False False False],1,0,1,5
15,[False False False],[False False False],1,0,1,0
16,[ True False False],[False False False],1,0,1,0
17,[False False False],[False False False],1,0,1,2
18,[False False  True],[False False  True],1,0,1,1
19,[False False False],[False False False],1,0,1,3
