,leading_p_is_casual,highest_post_prob_is_casual,num_true_possitive_p5*10**(-8),num_false_possitive_p5*10**(-8),num_true_possitive_post95,num_false_possitive_post95
0,[False  True False],[False  True False],1,10,1,0
1,[False False  True],[False False  True],1,1,1,0
2,[False False False],[False False False],1,0,1,0
3,[False  True False],[False  True False],1,1,1,0
4,[False False False],[False False False],1,0,1,0
5,[False  True False],[False False False],1,6,1,1
6,[ True False False],[ True False False],1,1,1,0
7,[False False  True],[False False  True],1,0,1,0
8,[False False  True],[False False  True],1,0,1,0
9,[False  True False],[False  True False],1,7,1,0
10,[False False  True],[False False  True],1,0,1,0
11,[False  True False],[False  True False],1,1,1,0
12,[False False False],[False False False],1,0,1,0
13,[ True False False],[ True False False],1,1,1,0
14,[False  True False],[False  True False],1,4,1,0
15,[False False False],[ True False False],1,0,1,0
16,[False  True False],[False  True False],1,5,1,0
17,[False False False],[False False False],1,0,1,0
18,[False False  True],[False False  True],1,0,1,0
19,[False False False],[False False False],1,0,1,0
20,[False False False],[False False  True],1,0,1,0
21,[False False False],[False False False],1,8,1,1
22,[False False False],[False False False],1,0,1,0
23,[False False False],[False False False],1,0,1,0
24,[False False  True],[False False False],1,3,1,1
25,[ True False False],[ True False False],1,3,1,0
26,[False False False],[False False False],1,0,1,0
27,[False False  True],[False False  True],1,0,1,0
28,[False False  True],[False False False],1,1,1,1
29,[False  True False],[False  True False],1,9,1,0
30,[False False  True],[False False  True],1,16,1,0
31,[False  True False],[False False False],1,3,1,1
32,[False  True False],[False False False],1,0,1,0
33,[False False False],[False False False],1,0,1,0
34,[ True False False],[ True False False],1,1,1,1
35,[ True False False],[ True False False],1,1,1,0
36,[False False False],[False False False],1,33,1,1
37,[False  True False],[False False  True],1,7,1,1
38,[False False  True],[False False  True],1,0,1,0
39,[False False False],[False False False],1,0,1,0
40,[False False  True],[ True False False],1,2,1,0
41,[ True False False],[False False False],1,0,1,0
42,[False False  True],[False False  True],1,0,1,0
43,[False False False],[False False False],1,0,1,0
44,[False False False],[False False False],1,0,1,0
45,[False False  True],[False False  True],1,0,1,0
46,[False False False],[False False False],1,0,1,0
47,[False False  True],[False False  True],1,0,1,0
48,[ True False False],[ True False False],1,0,1,0
49,[False False  True],[False False  True],1,0,1,0
50,[False False False],[False False False],1,0,1,0
51,[False  True False],[False  True False],1,0,1,0
52,[ True False False],[ True False False],1,0,1,0
53,[False  True False],[False  True False],1,0,1,0
54,[ True False False],[ True False False],1,0,1,0
55,[False False False],[False False False],1,0,1,0
56,[False False False],[False False False],1,0,1,0
57,[False False False],[False  True False],1,7,1,1
58,[False False False],[False False False],1,0,1,0
59,[False False False],[False False False],1,0,1,0
60,[False  True False],[False False  True],1,9,1,0
61,[False  True False],[False  True False],1,1,1,0
62,[False False False],[False False False],1,0,1,0
63,[False  True False],[False  True False],1,10,1,0
64,[ True False False],[ True False False],1,2,1,0
65,[ True False False],[ True False False],1,12,1,0
66,[ True False False],[ True False False],1,0,1,0
67,[ True False False],[ True False False],1,2,1,0
68,[False False False],[False False False],1,0,1,0
69,[False  True False],[False  True False],1,0,1,0
70,[ True False False],[ True False False],1,0,1,0
71,[False False False],[False False False],1,0,1,0
72,[False False False],[False False False],1,0,1,0
73,[False False  True],[False False  True],1,3,1,0
74,[False  True False],[ True False False],1,9,1,1
75,[False False False],[False False  True],1,18,1,0
76,[False False False],[False False False],1,0,1,0
77,[False  True False],[False  True False],1,4,1,0
78,[False  True False],[False False False],1,52,1,128
79,[ True False False],[ True False False],1,1,1,0
80,[ True False False],[ True False False],1,0,1,1
81,[False  True False],[False  True False],1,1,1,0
82,[False  True False],[False  True False],1,0,1,0
83,[False False False],[ True False False],1,0,1,0
84,[False False  True],[False False  True],1,0,1,0
85,[False False  True],[False False  True],1,0,1,0
86,[ True False False],[ True False False],1,2,1,0
87,[False False False],[False False False],1,0,1,0
88,[False False  True],[False False  True],1,0,1,0
89,[False False False],[False False False],1,0,1,0
90,[False False False],[False False False],1,0,1,0
91,[False False False],[ True False False],1,1,1,0
92,[False False False],[False False False],1,0,1,0
93,[ True False False],[False False False],1,0,1,0
94,[False  True False],[False  True False],1,4,1,0
95,[ True False False],[ True False False],1,0,1,0
96,[ True False False],[ True False False],1,0,1,0
97,[False False  True],[False False  True],1,2,1,0
98,[False  True False],[False  True False],1,5,1,0
99,[False False False],[ True False False],1,4,1,0
100,[False False  True],[False False  True],1,0,1,0
101,[False  True False],[False  True False],1,2,1,0
102,[False  True False],[False  True False],1,0,1,0
103,[False False False],[False False False],1,0,1,0
104,[False False False],[False False False],1,0,1,0
105,[False False False],[False False False],1,0,1,0
106,[False False False],[False False False],1,0,1,0
107,[False False  True],[False False False],1,0,1,0
108,[ True False False],[ True False False],1,0,1,0
109,[False  True False],[False  True False],1,0,1,0
110,[False False  True],[False False False],1,0,1,0
111,[False  True False],[False False False],1,15,1,139
112,[ True False False],[ True False False],1,1,1,0
113,[False False  True],[False False False],1,4,1,1
114,[ True False False],[ True False False],1,0,1,0
115,[ True False False],[ True False False],1,0,1,0
116,[False False False],[False False False],1,0,1,0
117,[False  True False],[False  True False],1,2,1,0
118,[False False False],[False False False],1,0,1,0
119,[False False False],[False False False],1,0,1,0
120,[False False  True],[False False  True],1,0,1,0
121,[False False False],[False False False],1,1,1,1
122,[False  True  True],[False  True  True],1,1,1,0
123,[False False False],[False False False],1,0,1,0
124,[False False  True],[False False  True],1,0,1,0
125,[False False False],[False False False],1,0,1,0
126,[False  True False],[False  True False],1,10,1,0
127,[False  True False],[False  True False],1,1,1,0
128,[False False False],[False False False],1,0,1,0
129,[False  True False],[False False False],1,0,1,0
130,[False  True False],[False  True False],1,0,1,0
131,[False False False],[False False False],1,0,1,0
132,[False  True False],[False  True False],1,1,1,0
133,[False False False],[False False False],1,0,1,0
134,[False False  True],[False False  True],1,1,1,0
135,[False False  True],[False False  True],1,5,1,0
136,[False False False],[False False False],1,0,1,0
137,[False  True False],[False  True False],1,0,1,0
138,[False False False],[False False False],1,0,1,0
139,[False False False],[False False False],1,0,1,0
140,[False False False],[False False False],1,0,1,0
141,[False False False],[False False False],1,0,1,0
142,[False False  True],[False False  True],1,0,1,0
143,[False False False],[False False False],1,58,1,0
144,[False False False],[False False False],1,0,1,0
145,[False False False],[False  True False],1,0,1,0
146,[False False  True],[ True False False],1,25,1,1
147,[False False False],[False False False],1,0,1,0
148,[False False False],[False  True False],1,0,1,0
149,[False False False],[False False False],1,0,1,0
150,[False False False],[False False False],1,0,1,0
151,[False  True False],[False False False],1,0,1,0
152,[False  True False],[False False False],1,0,1,0
153,[False False False],[False False  True],1,0,1,0
154,[False False  True],[False False  True],1,0,1,0
155,[ True False False],[ True False False],1,0,1,0
