,leading_p_is_casual,highest_post_prob_is_casual,num_true_possitive_p5*10**(-8),num_false_possitive_p5*10**(-8),num_true_possitive_post95,num_false_possitive_post95
0,[ True False False],[False False False],1,11,1,394
1,[False False  True],[False False False],1,54,1,444
2,[False False  True],[False False False],1,12,1,215
3,[ True False False],[False False False],1,3,1,503
4,[False False False],[False False False],1,0,1,410
5,[ True False False],[False False False],1,12,1,673
6,[False False False],[False False False],1,0,1,925
7,[False  True False],[False False False],1,5,1,604
8,[ True False False],[False False False],1,0,1,427
9,[ True False False],[False False False],1,0,1,784
10,[False False False],[False False False],1,58,1,316
11,[ True False False],[False False False],1,0,1,323
12,[False False  True],[False False False],1,24,1,304
13,[False  True False],[False False False],1,0,1,365
14,[False False False],[False False False],1,0,1,460
15,[ True False False],[False False False],1,3,1,493
16,[False False  True],[False False False],1,33,1,331
17,[False False  True],[False False False],1,1,1,577
18,[False False  True],[False False False],1,5,1,421
19,[False  True False],[False False False],1,0,1,454
