,leading_p_is_casual,highest_post_prob_is_casual,num_true_possitive_p5*10**(-8),num_false_possitive_p5*10**(-8),num_true_possitive_post95,num_false_possitive_post95
0,[False],[False],1,8,1,2
1,[ True],[ True],1,20,1,1
2,[ True],[ True],1,22,1,0
3,[ True],[False],1,23,1,2
4,[ True],[False],1,5,1,2
5,[ True],[ True],1,3,1,1
6,[ True],[False],1,3,1,3
7,[ True],[False],1,12,1,4
8,[ True],[ True],1,2,1,4
9,[ True],[ True],1,8,1,3
10,[ True],[ True],1,23,1,0
11,[ True],[ True],1,1,1,4
12,[ True],[ True],1,21,1,1
13,[ True],[ True],1,9,1,2
14,[ True],[ True],1,12,1,3
15,[ True],[ True],1,16,1,2
16,[ True],[ True],1,17,1,1
17,[ True],[ True],1,14,1,3
18,[ True],[False],1,17,1,4
19,[ True],[False],1,8,1,1
