,leading_p_is_casual,highest_post_prob_is_casual,num_true_possitive_p5*10**(-8),num_false_possitive_p5*10**(-8),num_true_possitive_post95,num_false_possitive_post95
0,True,True,1,2,1,0
1,True,True,1,1,1,0
2,True,True,1,11,1,0
3,True,True,1,2,1,0
4,True,False,1,42,1,1
5,True,True,1,3,1,0
6,True,True,1,7,1,0
7,True,True,1,3,1,0
8,True,True,1,0,1,0
9,True,True,1,0,1,0
10,True,True,1,5,1,0
11,True,True,0,0,1,0
12,False,False,1,4,0,1
13,True,True,1,8,1,0
14,True,False,1,4,1,5
15,True,True,1,12,1,0
16,False,False,0,0,0,0
17,True,True,1,16,1,1
18,True,True,1,29,1,3
19,True,True,1,3,1,0
20,True,True,1,16,1,0
21,False,False,0,0,0,0
22,True,False,1,24,1,152
23,True,True,1,0,1,0
24,True,True,1,0,1,0
25,True,False,1,25,1,95
26,True,True,1,11,1,0
27,True,True,1,0,1,0
28,True,True,1,0,1,0
29,True,True,1,16,1,0
30,True,True,1,7,1,0
31,True,True,1,0,1,0
32,True,True,1,8,1,0
33,True,False,1,4,0,1
34,True,True,1,1,1,0
35,True,True,1,8,1,1
36,True,True,1,14,1,0
37,True,True,1,4,1,0
38,True,True,1,5,1,0
39,True,True,1,3,1,0
40,True,True,1,14,1,0
41,True,True,1,1,1,0
42,True,True,1,11,1,0
43,True,True,1,6,1,1
44,True,True,1,4,1,0
45,True,True,1,8,1,0
46,True,True,1,9,1,0
47,True,True,1,3,1,0
48,True,True,1,0,1,0
49,True,True,1,3,1,0
50,True,False,1,32,1,174
51,True,True,1,7,1,0
52,True,False,1,62,1,170
53,True,True,1,3,1,1
54,True,True,1,6,1,0
55,True,True,1,0,1,0
56,True,True,1,5,1,0
57,True,False,1,4,0,1
58,True,True,1,6,1,0
59,True,True,1,1,1,0
60,True,True,1,10,1,0
61,True,True,1,0,1,0
62,True,True,1,19,1,0
63,True,False,1,51,0,1
64,True,True,1,4,1,2
65,True,True,1,6,1,0
66,True,True,1,0,1,0
67,True,True,1,6,1,0
68,True,True,1,9,1,0
69,True,False,1,12,1,249
70,True,True,1,0,1,0
71,True,True,1,5,1,0
72,True,False,1,17,1,160
73,True,True,1,20,1,0
74,True,True,1,4,1,0
75,True,True,1,1,1,1
76,True,True,1,3,1,0
77,True,True,1,9,1,0
78,True,True,1,23,1,0
79,True,True,1,6,1,0
80,False,False,1,55,0,5
81,True,True,1,0,1,0
82,True,True,1,2,1,0
83,True,True,1,2,1,0
84,True,True,1,0,1,0
85,True,True,1,3,1,0
86,True,True,1,3,1,0
87,True,True,1,2,1,0
88,True,True,1,10,1,0
89,True,True,0,0,1,0
90,True,True,1,3,1,0
91,True,True,1,3,1,0
92,True,False,0,0,0,0
93,True,True,1,5,1,0
94,True,True,1,2,1,0
95,True,True,1,3,1,0
96,True,True,1,0,1,0
97,True,True,1,8,1,0
98,True,True,1,14,1,0
99,True,True,1,3,1,0
100,True,False,1,20,1,4
101,True,True,1,4,1,0
102,True,True,1,10,1,0
103,True,True,1,20,1,2
104,True,True,1,19,1,0
105,True,True,1,0,1,0
106,True,True,1,2,1,0
107,True,True,1,4,1,0
108,True,True,1,1,1,0
109,True,True,1,0,1,0
110,True,False,1,6,0,2
111,False,False,1,180,0,272
112,True,True,1,11,1,0
113,True,True,1,5,1,0
114,True,True,1,1,1,0
115,True,True,1,5,1,0
116,True,True,1,4,1,0
117,True,True,1,8,1,0
118,True,True,1,1,1,0
119,True,True,1,9,1,0
120,True,True,1,14,1,1
121,False,False,1,151,0,4
122,True,True,1,0,1,0
123,True,True,1,5,1,0
124,False,False,1,7,1,1
125,True,False,1,23,1,114
126,True,True,1,1,1,0
127,True,True,1,6,1,0
128,True,True,1,19,1,1
129,True,True,1,8,1,0
130,True,True,1,7,1,0
131,True,False,1,16,1,216
132,True,True,1,17,1,0
133,True,True,1,4,1,0
134,True,True,1,2,1,0
135,True,True,1,7,1,0
136,True,True,1,0,1,0
137,True,True,1,0,1,0
138,True,True,1,6,1,0
139,True,True,1,2,1,0
140,True,True,1,1,1,0
141,True,True,1,19,1,2
142,True,False,1,21,1,205
143,True,False,1,16,1,102
144,True,True,1,53,1,0
145,True,True,1,10,1,2
146,True,True,1,22,1,0
147,False,True,1,11,1,1
148,True,True,1,7,1,1
149,True,False,1,11,1,195
150,True,True,1,20,1,0
151,True,True,1,5,1,0
152,True,True,1,9,1,0
153,True,True,1,8,1,0
154,True,True,1,1,1,0
155,True,True,1,6,1,0
156,True,True,1,3,1,0
157,True,True,1,5,1,0
158,True,True,1,0,1,0
159,True,True,1,5,1,0
160,True,True,1,6,1,0
161,True,True,1,10,1,1
162,True,True,1,7,1,0
163,True,True,1,1,1,0
164,True,True,1,3,1,0
165,True,True,1,5,1,0
166,True,False,1,34,1,1
167,True,True,1,2,1,0
168,True,False,1,95,0,2
169,True,False,1,1,1,3
170,False,False,1,5,1,1
171,True,True,1,3,1,0
172,True,True,1,1,1,0
173,True,True,1,3,1,2
174,True,True,1,4,1,0
175,False,False,1,24,0,1
176,True,True,1,10,1,0
177,True,True,1,0,1,0
178,True,True,1,2,1,0
179,True,True,1,9,1,0
180,True,True,1,8,1,0
181,True,True,1,5,1,1
182,True,True,1,2,1,1
183,True,True,1,5,1,0
184,True,False,1,21,1,186
185,True,True,1,0,1,0
186,True,True,1,0,1,0
187,True,True,1,6,1,0
188,True,True,1,1,1,0
189,True,True,1,23,1,0
190,True,True,1,0,1,0
191,True,True,1,4,1,0
192,True,True,1,2,1,0
193,True,True,1,2,1,0
194,True,True,1,11,1,0
195,True,True,1,5,1,0
196,True,False,1,16,0,1
197,False,True,1,4,1,0
198,True,True,1,9,1,0
199,True,True,1,9,1,0
