,leading_p_is_casual,highest_post_prob_is_casual,num_true_possitive_p5*10**(-8),num_false_possitive_p5*10**(-8),num_true_possitive_post95,num_false_possitive_post95
0,[False],[False],1,2,1,1
1,[ True],[ True],1,1,1,1
2,[ True],[ True],1,9,1,0
3,[False],[False],1,8,1,1
4,[ True],[False],1,0,1,0
5,[ True],[ True],1,0,1,3
6,[False],[False],1,0,1,0
7,[ True],[ True],1,1,1,1
8,[ True],[ True],1,0,1,2
9,[False],[False],1,0,1,9
10,[ True],[ True],1,1,1,0
11,[ True],[ True],1,0,1,3
12,[ True],[ True],1,4,1,2
13,[ True],[ True],1,0,1,4
14,[ True],[ True],1,0,1,2
15,[ True],[ True],1,3,1,0
16,[ True],[ True],1,6,1,0
17,[ True],[False],1,0,1,8
18,[ True],[ True],1,2,1,4
19,[ True],[False],1,2,1,3
