,leading_p_is_casual,highest_post_prob_is_casual,num_true_possitive_p5*10**(-8),num_false_possitive_p5*10**(-8),num_true_possitive_post95,num_false_possitive_post95
0,[False],[False],1,10,1,1
1,[ True],[ True],1,21,1,0
2,[ True],[ True],1,22,1,0
3,[ True],[False],1,24,1,1
4,[ True],[ True],1,4,1,0
5,[ True],[ True],1,3,1,0
6,[ True],[ True],1,1,1,0
7,[ True],[ True],1,11,1,0
8,[ True],[ True],1,2,1,0
9,[ True],[ True],1,8,1,0
10,[ True],[ True],1,20,1,0
11,[ True],[ True],1,1,1,0
12,[ True],[ True],1,15,1,0
13,[ True],[ True],1,8,1,0
14,[ True],[ True],1,11,1,0
15,[ True],[False],1,16,1,2
16,[ True],[ True],1,18,1,0
17,[ True],[ True],1,14,1,0
18,[ True],[ True],1,17,1,0
19,[ True],[ True],1,8,1,0
