,leading_p_is_casual,highest_post_prob_is_casual,num_true_possitive_p5*10**(-8),num_false_possitive_p5*10**(-8),num_true_possitive_post95,num_false_possitive_post95
0,[False],[False],1,3,1,2
1,[ True],[ True],1,0,1,1
2,[ True],[ True],1,5,1,0
3,[False],[False],1,7,1,0
4,[ True],[False],1,0,1,3
5,[ True],[ True],1,1,1,2
6,[False],[False],1,0,1,4
7,[ True],[False],1,1,1,0
8,[ True],[ True],1,0,1,1
9,[False],[False],1,0,1,3
10,[ True],[ True],1,2,1,0
11,[ True],[False],1,0,1,2
12,[ True],[ True],1,4,1,0
13,[ True],[ True],1,0,1,1
14,[ True],[ True],1,0,1,1
15,[ True],[ True],1,2,1,0
16,[ True],[ True],1,5,1,0
17,[ True],[False],1,0,1,3
18,[ True],[ True],1,0,1,1
19,[ True],[False],1,0,1,2
