,leading_p_is_casual,highest_post_prob_is_casual,num_true_possitive_p5*10**(-8),num_false_possitive_p5*10**(-8),num_true_possitive_post95,num_false_possitive_post95
0,[False False  True],[False False  True],1,35,1,0
1,[False False  True],[ True False False],1,53,1,4
2,[ True False False],[ True False False],1,92,1,4
3,[False False  True],[False False  True],1,8,1,2
4,[False  True False],[False False  True],1,20,1,9
5,[False  True False],[False  True False],1,8,1,4
6,[False  True False],[False False False],1,1,1,8
7,[False  True False],[False  True False],1,67,1,4
8,[False False  True],[ True False False],1,50,1,6
9,[False  True False],[ True False False],1,35,1,6
10,[False False  True],[False False  True],1,85,1,1
11,[False  True False],[False False False],1,59,1,6
12,[False  True False],[False False  True],1,45,1,2
13,[ True False False],[False False False],1,31,1,7
14,[False  True False],[ True False False],1,12,1,5
15,[False  True False],[False False  True],1,12,1,6
16,[False False False],[False False False],1,63,1,1
17,[False  True False],[ True False False],1,4,1,7
18,[ True False False],[False  True False],1,2,1,2
19,[ True False False],[False False False],1,29,1,8
