,leading_p_is_casual,highest_post_prob_is_casual,num_true_possitive_p5*10**(-8),num_false_possitive_p5*10**(-8),num_true_possitive_post95,num_false_possitive_post95
0,[False],[False],1,17,1,4
1,[ True],[ True],1,16,1,2
2,[ True],[ True],1,19,1,0
3,[False],[False],1,13,1,1
4,[ True],[ True],1,0,1,6
5,[ True],[ True],1,2,1,6
6,[ True],[ True],1,0,1,9
7,[ True],[False],1,5,1,6
8,[ True],[ True],1,0,1,4
9,[ True],[ True],1,0,1,8
10,[ True],[ True],1,19,1,0
11,[ True],[False],1,1,1,6
12,[ True],[ True],1,7,1,3
13,[ True],[ True],1,2,1,3
14,[ True],[ True],1,1,1,0
15,[ True],[ True],1,7,1,2
16,[ True],[ True],1,18,1,3
17,[ True],[False],1,0,1,7
18,[ True],[False],1,9,1,4
19,[ True],[ True],1,3,1,4
