,leading_p_is_casual,highest_post_prob_is_casual,num_true_possitive_p5*10**(-8),num_false_possitive_p5*10**(-8),num_true_possitive_post95,num_false_possitive_post95
0,[False False False],[False False False],1,0,1,0
1,[False False False],[False False False],1,0,1,0
2,[False False  True],[False False  True],1,1,1,0
3,[False False  True],[False False  True],1,0,1,1
4,[False False False],[False False False],1,0,1,0
5,[False False False],[False False False],1,0,1,0
6,[False False False],[False False False],1,0,1,2
7,[ True False False],[ True False False],1,0,1,1
8,[False False False],[False False False],1,0,1,0
9,[False False False],[False False False],1,0,1,2
10,[False False False],[False False False],1,0,1,0
11,[ True False False],[ True False False],1,0,1,0
12,[False False False],[False False False],1,0,1,0
13,[False False False],[False False False],1,0,1,0
14,[False False False],[False False False],1,0,1,0
15,[False False False],[False False False],1,0,1,0
16,[ True False False],[ True False False],1,0,1,0
17,[False False False],[False False False],1,0,1,0
18,[False False False],[False False False],1,0,1,0
19,[False False False],[False False False],1,0,1,0
