,leading_p_is_casual,highest_post_prob_is_casual,num_true_possitive_p5*10**(-8),num_false_possitive_p5*10**(-8),num_true_possitive_post95,num_false_possitive_post95
0,[False  True False],[False  True False],1,2,1,0
1,[False  True False],[False  True False],1,0,1,0
2,[False False  True],[False False  True],1,0,1,0
3,[False False False],[False False False],1,0,1,0
4,[False False False],[False False False],1,0,1,0
5,[ True False False],[ True False False],1,0,1,0
6,[ True False False],[ True False False],1,0,1,0
7,[False False False],[False False False],1,0,1,0
8,[False  True False],[False  True False],1,1,1,1
9,[False False False],[False False False],1,0,1,0
10,[False False  True],[False False  True],1,8,1,0
11,[False False False],[False False False],1,0,1,0
12,[False  True False],[False  True False],1,0,1,0
13,[False False  True],[False False  True],1,10,1,0
14,[False False  True],[ True False False],1,0,1,0
15,[False  True False],[False  True False],1,0,1,0
16,[False False False],[False False False],1,3,1,1
17,[False False False],[False False False],1,0,1,0
18,[False  True False],[False False False],1,0,1,0
19,[False False False],[False False False],1,0,1,0
