,leading_p_is_casual,highest_post_prob_is_casual,num_true_possitive_p5*10**(-8),num_false_possitive_p5*10**(-8),num_true_possitive_post95,num_false_possitive_post95
0,[False],[False],1,36,1,396
1,[ True],[False],1,50,1,446
2,[ True],[False],1,45,1,217
3,[False],[False],1,30,1,505
4,[ True],[False],1,7,1,412
5,[ True],[False],1,4,1,675
6,[ True],[False],1,0,1,927
7,[ True],[False],1,17,1,606
8,[ True],[False],1,2,1,429
9,[ True],[False],1,3,1,786
10,[ True],[False],1,63,1,318
11,[ True],[False],1,3,1,325
12,[False],[False],1,33,1,306
13,[ True],[False],1,12,1,367
14,[ True],[False],1,14,1,462
15,[ True],[False],1,16,1,495
16,[False],[False],1,52,1,333
17,[ True],[False],1,11,1,579
18,[ True],[False],1,26,1,423
19,[ True],[False],1,11,1,456
